model,types,filter,count,min,max,mean,std,bin_count,shannon_entropy,desequilibrium,complexity
meta-llama/Llama-3.1-8B,bias-norm-other,1 sigma,5067028492,-0.0140380859375,0.01409912109375,1.780906330919655e-05,0.007390006306220671,2057,6.811638355255127,0.000721341697499156,0.004913518773930092
meta-llama/Llama-3.1-8B,bias-norm-other,2 sigma,6684553147,-0.0281982421875,0.0281982421875,-3.251632011243985e-06,0.011614876568689975,3297,6.993581771850586,0.0006804828299209476,0.004759012315392441
meta-llama/Llama-3.1-8B,bias-norm-other,3 sigma,6930210580,-0.042236328125,0.042236328125,-4.374540765180915e-06,0.013011902379923444,4816,7.064661979675293,0.0007222936255857348,0.005102760314837362
meta-llama/Llama-3.1-8B,bias-norm-other,4 sigma,6966842773,-0.056396484375,0.056396484375,-4.771395431440597e-06,0.013431018441055617,6326,7.0812578201293945,0.0007645347504876554,0.005413867680651385
meta-llama/Llama-3.1-8B,bias-norm,0 sigma,266240,-0.2119140625,2.953125,0.422572054198155,0.27103023029342616,614,4.498889446258545,0.012874830514192581,0.05792243912266848
meta-llama/Llama-3.1-8B,bias-norm,1 sigma,248127,0.15234375,0.69140625,0.40475159032093444,0.09958339580142464,109,4.301318168640137,0.00678236223757267,0.029173097918770097
meta-llama/Llama-3.1-8B,bias-norm,2 sigma,261935,-0.052490234375,0.9609375,0.3919787721620986,0.12253724335890859,198,4.429330348968506,0.009934810921549797,0.044004559526084286
meta-llama/Llama-3.1-8B,bias-norm,3 sigma,262145,-0.2119140625,1.234375,0.3925055108707654,0.12393324181242736,279,4.4297332763671875,0.011423800140619278,0.05060438762546937
meta-llama/Llama-3.1-8B,bias-norm,4 sigma,262187,-0.2119140625,1.5,0.3926623613002048,0.12454527707344143,330,4.428299903869629,0.012050810270011425,0.05336460196024273
meta-llama/Llama-3.1-8B,bias-other,0 sigma,6979321856,-0.921875,0.9140625,-4.94735807015773e-06,0.013761481755354502,103019,7.090230464935303,0.0009103856282308698,0.0064548439161217774
meta-llama/Llama-3.1-8B,bias-other,1 sigma,4991135995,-0.01373291015625,0.01373291015625,-1.1854679298558221e-06,0.0072450948584698695,2040,6.802452087402344,0.0007317888084799051,0.004977958307781805
meta-llama/Llama-3.1-8B,bias-other,2 sigma,6653476046,-0.0274658203125,0.0274658203125,-3.1392880046302157e-06,0.011484895175077075,3206,6.983956336975098,0.0006801808485761285,0.004750353347702352
meta-llama/Llama-3.1-8B,bias-other,3 sigma,6924599965,-0.041259765625,0.041259765625,-4.323028308668522e-06,0.012962540621624776,4652,7.059817314147949,0.0007177634397521615,0.005067278759424698
meta-llama/Llama-3.1-8B,bias-other,4 sigma,6965183989,-0.054931640625,0.054931640625,-4.7578288464395654e-06,0.013405059547229908,6228,7.08262300491333,0.0007608785526826978,0.005389015941175634
meta-llama/Llama-3.1-8B,bias,0 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-8B,bias,1 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-8B,bias,2 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-8B,bias,3 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-8B,bias,4 sigma,0,0.0,0.0,0.0,0.0,1,-0.0,1.0,-0.0
meta-llama/Llama-3.1-8B,embedding-other,0 sigma,7504658432,-0.921875,0.9140625,-3.003620733992231e-06,0.01356501278630898,107076,7.097745895385742,0.0009057759307324886,0.0064289673944957215
meta-llama/Llama-3.1-8B,embedding-other,1 sigma,5370042219,-0.0135498046875,0.0135498046875,-3.082431591205673e-07,0.007148062602637763,2085,6.802461624145508,0.000744747812859714,0.005066118416644505
meta-llama/Llama-3.1-8B,embedding-other,2 sigma,7155688199,-0.027099609375,0.027099609375,-1.417799304545633e-06,0.011327415372368673,3291,6.993088722229004,0.0006815224187448621,0.004765946740470928
meta-llama/Llama-3.1-8B,embedding-other,3 sigma,7445089790,-0.04052734375,0.04052734375,-2.3887265842631007e-06,0.012772327247168966,4767,7.068188667297363,0.0007175068603828549,0.005071473859266207
meta-llama/Llama-3.1-8B,embedding-other,4 sigma,7489586538,-0.05419921875,0.05419921875,-2.815882648210584e-06,0.013215311038835479,6341,7.088882923126221,0.0007595817442052066,0.0053845860552147184
meta-llama/Llama-3.1-8B,embedding,0 sigma,525336576,-0.1025390625,0.248046875,2.281976391574342e-05,0.01061517469470921,10011,6.767473220825195,0.0011339652119204402,0.007674079205018947
meta-llama/Llama-3.1-8B,embedding,1 sigma,361647993,-0.01055908203125,0.0106201171875,2.737741532188594e-05,0.005675472569463818,819,6.448179244995117,0.000410466396715492,0.0026467609000687675
meta-llama/Llama-3.1-8B,embedding,2 sigma,500534821,-0.0211181640625,0.021240234375,3.0051761623593417e-05,0.009240881757347958,1267,6.676328182220459,0.000510084442794323,0.003405491140739958
meta-llama/Llama-3.1-8B,embedding,3 sigma,523518780,-0.03173828125,0.03173828125,2.1308922468359206e-05,0.010426387001652994,1846,6.763718605041504,0.0006851228536106646,0.004633978191705579
meta-llama/Llama-3.1-8B,embedding,4 sigma,525263534,-0.042236328125,0.04248046875,2.276263263189902e-05,0.010602152575892336,2446,6.772869110107422,0.0008168527274392545,0.005532436605180324
meta-llama/Llama-3.1-8B,norm-embedding-other,0 sigma,7504924672,-0.921875,2.953125,1.1987386945731621e-05,0.013890413004279215,225183,7.0975494384765625,0.0009108335361815989,0.006464686053271329
meta-llama/Llama-3.1-8B,norm-embedding-other,1 sigma,5445191816,-0.01385498046875,0.01385498046875,-3.113837857766021e-07,0.007279573931902437,2086,6.810599327087402,0.0007318170391954482,0.004984112634695614
meta-llama/Llama-3.1-8B,norm-embedding-other,2 sigma,7184065229,-0.0277099609375,0.0277099609375,-1.4877991362272918e-06,0.011436002463408958,3357,7.000572204589844,0.0006809934857301414,0.004767344067709178
meta-llama/Llama-3.1-8B,norm-embedding-other,3 sigma,7451310561,-0.04150390625,0.04150390625,-2.4450846585536797e-06,0.012822161140893833,4848,7.069047451019287,0.0007205790607258677,0.0050938075724820675
meta-llama/Llama-3.1-8B,norm-embedding-other,4 sigma,7491100657,-0.055419921875,0.055419921875,-2.8345959843331696e-06,0.013236983254272331,6508,7.090473651885986,0.00076285470277071,0.005409001170213035
meta-llama/Llama-3.1-8B,norm-embedding,0 sigma,525602816,-0.2119140625,2.953125,0.00023685877731359376,0.015499365439594188,90977,6.7736358642578125,0.00121838238555938,0.008252878623205007
meta-llama/Llama-3.1-8B,norm-embedding,1 sigma,449967043,-0.0152587890625,0.015625,0.000101835007873576,0.007652415755092397,1008,6.618005275726318,0.0003701856476254761,0.002449890568983565
